feature_idx,feature_name,importance_male,importance_female,delta,p_value,q_value_bh,significant
195,AVR_P_amp,-0.0019607843137254945,-0.008994708994709026,0.007033924680983531,0.00030983121779490575,0.002050787584451995,True
256,V4_T_amp,-0.006535947712418315,0.0,-0.006535947712418315,0.0023162288558395156,0.013141053508640518,True
251,V4_R_amp,-0.00915032679738564,-0.0026455026455026545,-0.006504824151882986,0.012903958305996933,0.0551892370625715,False
40,DIII_R_wid,0.0,-0.006349206349206371,0.006349206349206371,0.0001349328277060312,0.0009871401605862293,True
7,T_int,-0.0006535947712418314,-0.006878306878306902,0.006224712107065071,0.00036816353338662476,0.0023802200530577138,True
137,V5_S_wid,-0.0052287581699346514,-0.01111111111111115,0.005882352941176498,0.007010126402943013,0.03194778918062553,True
197,AVR_QRSA,-0.005882352941176483,0.0,-0.005882352941176483,0.001425827417902561,0.008257917128685666,True
177,DII_QRSA,-0.005882352941176483,0.0,-0.005882352941176483,0.001425827417902561,0.008257917128685666,True
162,DI_S_amp,0.0,-0.00582010582010584,0.00582010582010584,0.000306821971276373,0.002050787584451995,True
241,V3_R_amp,-0.006535947712418315,-0.0010582010582010617,-0.005477746654217253,0.00556809496897222,0.026236108497869105,True
124,V4_R_wid,-0.005882352941176483,-0.0005291005291005309,-0.005353252412075952,0.010955014534050239,0.04758584438228072,True
8,P_int,-0.005882352941176483,-0.0005291005291005309,-0.005353252412075952,0.004265407080817529,0.02117469943691559,True
272,V6_S_amp,0.0,-0.005291005291005309,0.005291005291005309,0.0006722787664954146,0.004153188824127228,True
44,DIII_N_defl,0.0,-0.005291005291005309,0.005291005291005309,0.0006722787664954146,0.004153188824127228,True
186,DIII_T_amp,-0.0052287581699346514,0.0,-0.0052287581699346514,0.0029392910958459177,0.014856780448093935,True
218,AVF_QRSTA,-0.0052287581699346514,0.0,-0.0052287581699346514,0.0029392910958459177,0.014856780448093935,True
217,AVF_QRSA,-0.0052287581699346514,0.0,-0.0052287581699346514,0.0029392910958459177,0.014856780448093935,True
51,AVR_Q_wid,-0.0052287581699346514,0.0,-0.0052287581699346514,0.0029392910958459177,0.014856780448093935,True
247,V3_QRSA,-0.009803921568627472,-0.004761904761904778,-0.005042016806722694,0.030377566778301963,0.12239077629518762,False
257,V4_QRSA,-0.012418300653594798,-0.007407407407407433,-0.005010893246187365,0.0327761300168049,0.1265522797871078,False
