feature_idx,feature_name,male_max_r,male_mean_r,male_n_diseases,female_max_r,female_mean_r,female_n_diseases,abs_diff_max_r,abs_diff_mean_r,male_only,female_only,significant
41,DIII_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
224,V1_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
43,DIII_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
226,V1_T_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
45,DIII_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
46,DIII_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
47,DIII_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
230,V2_Q_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
48,DIII_Diph_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
232,V2_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
49,DIII_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
234,V2_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
50,DIII_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
51,AVR_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
52,AVR_R_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
238,V2_QRSTA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
53,AVR_S_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
240,V3_Q_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
54,AVR_Rp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
55,AVR_Sp_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
243,V3_Rp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
244,V3_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
245,V3_P_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
56,AVR_N_defl,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
57,AVR_Rag_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
264,V5_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
265,V5_P_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
